Leystone Fragment|266~782
Regeneration Potion|970
Energiser Potion|970
Maximum Health Potion|970
Maximum Energy Potion|970
Attack Potion|970
Defence Potion|970
Armour Potion|970
Haste Potion|970
Travelling Potion|970
Knowledge Potion|970
Shrink Potion|970
Growth Potion|970
Invisibility Potion|970~1843
Super Regeneration Potion|971~1184~1229~1340~1514~1722~1774~1900
Super Energiser Potion|971~1184~1229~1340~1514~1774~1900
Super Maximum Health Potion|971~1184~1229~1340~1514~1722~1774~1900
Super Maximum Energy Potion|971~1184~1229~1340~1514~1774~1900
Super Attack Potion|971~1184~1229~1340~1514~1774~1900
Super Defence Potion|971~1184
Super Armour Potion|971~1184~1722
Super Haste Potion|971~1184~1229~1340~1514~1774~1900
Super Travelling Potion|971~1184~1229~1340~1514~1722~1774~1900
Super Knowledge Potion|971~1184~1229~1340~1514~1774~1900
Super Shrink Potion|971
Super Growth Potion|971
Super Combination Potion|1184~1229~1340~1514~1774~1900
Restoration Potion|974~1320~1721~1722~1723~1743~1845
Minor Health Potion|972
Minor Energy Potion|972
Health Potion|973~1072~1311
Energy Potion|973~1072
Super Elixir of Haste|1497~1498
Super Combination Elixir|1183~1228~1339~1497~1498~1513~1723~1773~1843~1844~1900
Super Elixir of Armour|1183
Super Elixir of Regeneration|1183~1228~1339
Super Elixir of Energisation|1183~1228~1339~1497~1498~1513~1723~1773~1900
Super Elixir of Wisdom|1183~1228~1339~1842~1843~1900
Super Elixir of Knowledge|1183~1228~1339~1842~1843~1844~1900
Heroic Elixir of Wisdom|1183~1228~1339~1513~1773~1844~1898
Heroic Elixir of Knowledge|1183~1228~1339~1513~1773~1844~1898
Heroic Elixir of Energisation|1183~1228~1339~1898
Heroic Elixir of Regeneration|1183~1228~1339~1898
Heroic Travelling Elixir|1183~1228~1339~1898
Heroic Elixir of Haste|1183~1228~1339~1898
Heroic Elixir of Defence|1183
Heroic Elixir of Attack|1183~1228~1339~1513~1773~1898
Heroic Elixir of Armour|1183
Heroic Combination Elixir|1263~1285
Heroic Combination Elixir|1898
Bounty Pledge|1355~1497~1498
Potion of Concentration|1722
Super Potion of Concentration|1723
Budget Fisherman's Draught|1695
Novice Fisherman's Draught|1696
Apprentice Fisherman's Draught|1697
Aspirant Fisherman's Draught|1698
Journeyman Fisherman's Draught|1699
Adept Fisherman's Draught|1700
Expert Fisherman's Draught|1701
Artisan Fisherman's Draught|1702
Master Fisherman's Draught|1703
Grandmaster Fisherman's Draught|1704
Club|2083
Hatchet|2083
Small Sword|2083
Knife|2083
Shortbow|2083
Short Staff|2083
Wand|2083
Buckler|2083
Splint Gauntlets|2083
Sheepskin Gloves|2083
Wool Gloves|2083
Splint Boots|2083
Sheepskin Boots|2083
Wool Shoes|2083
Splint Helm|2083
Sheepskin Helm|2083
Wool Hat|2083
Splint Greaves|2083
Sheepskin Greaves|2083
Wool Breeches|2083
Splint Breastplate|2083
Sheepskin Cuirass|2083
Wool Shirt|2083
Robust Club|7
Fierce Hatchet|7
Steady Small Sword|7
Sharp Knife|7
Sturdy Shortbow|7
Stout Short Staff|7
Elegant Wand|7
Banded Buckler|7
Hammered Splint Gauntlets|7
Tanned Sheepskin Gloves|7
Woven Wool Gloves|7
Hammered Splint Boots|7
Tanned Sheepskin Boots|7
Woven Wool Shoes|7
Hammered Splint Helm|7
Tanned Sheepskin Helm|7
Woven Wool Hat|7
Hammered Splint Greaves|7
Tanned Sheepskin Greaves|7
Woven Wool Breeches|7
Hammered Splint Breastplate|7
Tanned Sheepskin Cuirass|7
Woven Wool Shirt|7
Brutal Club|8
Savage Hatchet|8
Balanced Small Sword|8
Cruel Knife|8
Crafted Shortbow|8
Solid Short Staff|8
Splendid Wand|8
Reinforced Buckler|8
Embossed Splint Gauntlets|8
Cured Sheepskin Gloves|8
Tailored Wool Gloves|8
Embossed Splint Boots|8
Cured Sheepskin Boots|8
Tailored Wool Shoes|8
Embossed Splint Helm|8
Cured Sheepskin Helm|8
Tailored Wool Hat|8
Embossed Splint Greaves|8
Cured Sheepskin Greaves|8
Tailored Wool Breeches|8
Embossed Splint Breastplate|8
Cured Sheepskin Cuirass|8
Tailored Wool Shirt|8
Cudgel|9
Handaxe|9
Short Sword|9
Dagger|9
Longbow|9
Walking Staff|9
Baton|9
Targe|9
Chain Gauntlets|9
Leather Gloves|9
Cloth Gloves|9
Chain Boots|9
Leather Boots|9
Cloth Shoes|9
Chain Helm|9
Leather Helm|9
Cloth Hat|9
Chain Greaves|9
Leather Greaves|9
Cloth Breeches|9
Chain Breastplate|9
Leather Cuirass|9
Cloth Shirt|9
Robust Cudgel|10
Fierce Handaxe|10
Steady Short Sword|10
Sharp Dagger|10
Sturdy Longbow|10
Stout Walking Staff|10
Elegant Baton|10
Banded Targe|10
Hammered Chain Gauntlets|10
Tanned Leather Gloves|10
Woven Cloth Gloves|10
Hammered Chain Boots|10
Tanned Leather Boots|10
Woven Cloth Shoes|10
Hammered Chain Helm|10
Tanned Leather Helm|10
Woven Cloth Hat|10
Hammered Chain Greaves|10
Tanned Leather Greaves|10
Woven Cloth Breeches|10
Hammered Chain Breastplate|10
Tanned Leather Cuirass|10
Woven Cloth Shirt|10
Brutal Cudgel|11
Savage Handaxe|11
Balanced Short Sword|11
Cruel Dagger|11
Crafted Longbow|11
Solid Walking Staff|11
Splendid Baton|11
Reinforced Targe|11
Embossed Chain Gauntlets|11
Cured Leather Gloves|11
Tailored Cloth Gloves|11
Embossed Chain Boots|11
Cured Leather Boots|11
Tailored Cloth Shoes|11
Embossed Chain Helm|11
Cured Leather Helm|11
Tailored Cloth Hat|11
Embossed Chain Greaves|11
Cured Leather Greaves|11
Tailored Cloth Breeches|11
Embossed Chain Breastplate|11
Cured Leather Cuirass|11
Tailored Cloth Shirt|11
Mallet|2083
Wood Axe|2083
Broadsword|2083
Robust Mallet|7
Fierce Wood Axe|7
Steady Broadsword|7
Brutal Mallet|8
Savage Wood Axe|8
Balanced Broadsword|8
War Hammer|9
Broad Axe|9
Longsword|9
Robust War Hammer|10
Fierce Broad Axe|10
Steady Longsword|10
Brutal War Hammer|11
Savage Broad Axe|11
Balanced Longsword|11
Ruined Hide Scraps|6~18~38
Yellowed Canine|18~38
Wrecked Grey Wolf Pelt|19
Fine Grey Wolf Pelt|21
Pristine Grey Wolf Pelt|22
Old Cloth Scraps|6
Rusty Mail Scraps|6
Horn Goblet|32
Claws of the Alpha Snarl|4
Hagvar's Head|3
Command Totem|2
Jasper|28~29~85
Agate|28~85
Bloodstone|28~85
Amber|28~85
Tiger's Eye|85
Moonstone|85
Rose Quartz|85~365
Jet|85~365
Pearl|85~365
Amethyst|85~307~365~366
Peridot|85~307~365~366
Sapphire|85~307~365~366
Ruby|85~307~365~366
Emerald|85~307~310~365~366
Diamond|85~307~310~365~366
Farcrag Sewers Map|5
Red Rooster|1283~1289~2095~1298~1304
Common Chicken|964~965~966~1280~1281~1287~2094~1295~1296~1301~1302~1430
White Pawn|23~24~25~26~27
White Knight|23
White Bishop|24
White Rook|25
White Queen|26
White King|27
Bracken the Puppy|1071
Icicle Arrow|15~16~17~200
Flame Arrow|15~16~17~200
Bodkin Arrow|11~12~13~14~200
Wolf Meat|18
Skullcrusher Signal Torch|30
Rafferty's Ring|35
Mining Pick|34
Tomb Shovel|33
Mugwort|372
Thyme|372
Rotten Flesh|31
Minor Energy Potion|201~228~229~266~267
Minor Health Potion|203~204~228~229~266~267
Ancient Bone Shards|36
Dilute Health Potion|203~204~267
Crookback Jail Key|37
Maul|12
Sparth Axe|12
Claymore|12
Dirk|12
Composite Bow|12
Quarter Staff|12
Rod|12
Robust Maul|13
Fierce Sparth Axe|13
Steady Claymore|13
Sharp Dirk|13
Sturdy Composite Bow|13
Stout Quarter Staff|13
Elegant Rod|13
Brutal Maul|14
Savage Sparth Axe|14
Balanced Claymore|14
Cruel Dirk|14
Crafted Composite Bow|14
Solid Quarter Staff|14
Splendid Rod|14
Great Maul|15
Great Axe|15
Greatsword|15
Langsax|15
War Bow|15
Grand Staff|15
Sceptre|15
Robust Great Maul|16
Fierce Great Axe|16
Steady Greatsword|16
Sharp Langsax|16
Sturdy War Bow|16
Elegant Sceptre|16
Brutal Great Maul|17
Savage Great Axe|17
Balanced Greatsword|17
Cruel Langsax|17
Crafted War Bow|17
Solid Grand Staff|17
Splendid Sceptre|17
Mace|12
Short Axe|12
Cutlass|12
Robust Mace|13
Fierce Short Axe|13
Steady Cutlass|13
Brutal Mace|14
Savage Short Axe|14
Balanced Cutlass|14
Flanged Mace|15
Battle Axe|15
Falchion|15
Robust Flanged Mace|16
Fierce Battle Axe|16
Steady Falchion|16
Brutal Flanged Mace|17
Savage Battle Axe|17
Balanced Falchion|17
Scale Gauntlets|12
Quilted Gloves|12
Linen Gloves|12
Hammered Scale Gauntlets|13
Tanned Quilted Gloves|13
Woven Linen Gloves|13
Embossed Scale Gauntlets|14
Cured Quilted Gloves|14
Tailored Linen Gloves|14
Plate Gauntlets|15
Lamellar Gloves|15
Silk Gloves|15
Hammered Plate Gauntlets|16
Tanned Lamellar Gloves|16
Woven Silk Gloves|16
Embossed Plate Gauntlets|17
Cured Lamellar Gloves|17
Tailored Silk Gloves|17
Scale Boots|12
Quilted Boots|12
Linen Shoes|12
Hammered Scale Boots|13
Tanned Quilted Boots|13
Woven Linen Shoes|13
Embossed Scale Boots|14
Cured Quilted Boots|14
Tailored Linen Shoes|14
Plate Boots|15
Lamellar Boots|15
Silk Shoes|15
Hammered Plate Boots|16
Tanned Lamellar Boots|16
Woven Silk Shoes|16
Embossed Plate Boots|17
Cured Lamellar Boots|17
Tailored Silk Shoes|17
Scale Helm|12
Quilted Helm|12
Linen Hat|12
Hammered Scale Helm|13
Tanned Quilted Helm|13
Woven Linen Hat|13
Embossed Scale Helm|14
Cured Quilted Helm|14
Tailored Linen Hat|14
Plate Helm|15
Lamellar Helm|15
Silk Hat|15
Hammered Plate Helm|16
Tanned Lamellar Helm|16
Woven Silk Hat|16
Embossed Plate Helm|17
Cured Lamellar Helm|17
Tailored Silk Hat|17
Scale Greaves|12
Quilted Greaves|12
Linen Breeches|12
Hammered Scale Greaves|13
Tanned Quilted Greaves|13
Woven Linen Breeches|13
Embossed Scale Greaves|14
Cured Quilted Greaves|14
Tailored Linen Breeches|14
Plate Greaves|15
Lamellar Greaves|15
Silk Breeches|15
Hammered Plate Greaves|16
Tanned Lamellar Greaves|16
Woven Silk Breeches|16
Embossed Plate Greaves|17
Cured Lamellar Greaves|17
Tailored Silk Breeches|17
Scale Breastplate|12
Quilted Cuirass|12
Linen Shirt|12
Hammered Scale Breastplate|13
Tanned Quilted Cuirass|13
Woven Linen Shirt|13
Embossed Scale Breastplate|14
Cured Quilted Cuirass|14
Tailored Linen Shirt|14
Plate Breastplate|15
Lamellar Cuirass|15
Silk Shirt|15
Hammered Plate Breastplate|16
Tanned Lamellar Cuirass|16
Woven Silk Shirt|16
Embossed Plate Breastplate|17
Cured Lamellar Cuirass|17
Tailored Silk Shirt|17
Kite Shield|12
Reinforced Kite Shield|14
Tower Shield|15
Banded Tower Shield|16
Reinforced Tower Shield|17
Rondel|12
Sharp Rondel|13
Cruel Rondel|14
Sgian Dubh|15
Sharp Sgian Dubh|16
Cruel Sgian Dubh|17
Redclaw Breastplate|39~84~193
Redclaw Greaves|39~83~193
Redclaw Helm|39~82~193
Redclaw Boots|39~81~193
Redclaw Gauntlets|39~80~193
Highroad Cuirass|39~84~193
Highroad Greaves|39~83~193
Highroad Hood|39~82~193
Highroad Boots|39~81~193
Highroad Gauntlets|39~80~193
Darkrun Jerkin|39~193
Darkrun Breeches|39~83~193
Darkrun Cowl|39~82~193
Darkrun Boots|39~81~84~193
Darkrun Gloves|39~80~193
Silverleaf Robe|39~84~193
Silverleaf Leggings|39~83~193
Silverleaf Circlet|39~82~193
Silverleaf Sandals|39~81~193
Silverleaf Gloves|39~80~193
Sorcerous Gown|39~84~193
Sorcerous Skirt|39~83~193
Sorcerous Hat|39~82~193
Sorcerous Shoes|39~81~193
Sorcerous Gloves|39~80~193
Hammered Redclaw Breastplate|40~90~194
Hammered Redclaw Greaves|40~89~194
Hammered Redclaw Helm|40~88~194
Hammered Redclaw Boots|40~87~194
Hammered Redclaw Gauntlets|40~86~194
Tanned Highroad Cuirass|40~90~194
Tanned Highroad Greaves|40~89~194
Tanned Highroad Hood|40~88~194
Tanned Highroad Boots|40~87~194
Tanned Highroad Gauntlets|40~86~194
Tanned Darkrun Jerkin|40~90~194
Tanned Darkrun Breeches|40~89~194
Tanned Darkrun Cowl|40~88~194
Tanned Darkrun Boots|40~87~194
Tanned Darkrun Gloves|40~86~194
Woven Silverleaf Robe|40~90~194
Woven Silverleaf Leggings|40~89~194
Woven Silverleaf Circlet|40~88~194
Woven Silverleaf Sandals|40~87~194
Woven Silverleaf Gloves|40~86~194
Woven Sorcerous Gown|40~90~194
Woven Sorcerous Skirt|40~89~194
Woven Sorcerous Hat|40~88~194
Woven Sorcerous Shoes|40~87~194
Woven Sorcerous Gloves|40~86~194
Embossed Redclaw Breastplate|41~195
Embossed Redclaw Greaves|41~195
Embossed Redclaw Helm|41~195
Embossed Redclaw Boots|41~195
Embossed Redclaw Gauntlets|41~195
Cured Highroad Cuirass|41~195
Cured Highroad Greaves|41~195
Cured Highroad Hood|41~195
Cured Highroad Boots|41~195
Cured Highroad Gauntlets|41~195
Cured Darkrun Jerkin|41~195
Cured Darkrun Breeches|41~195
Cured Darkrun Cowl|41~195
Cured Darkrun Boots|41~195
Cured Darkrun Gloves|41~195
Tailored Silverleaf Robe|41~195
Tailored Silverleaf Leggings|41~195
Tailored Silverleaf Circlet|41~195
Tailored Silverleaf Sandals|41~195
Tailored Silverleaf Gloves|41~195
Tailored Sorcerous Gown|41~195
Tailored Sorcerous Skirt|41~195
Tailored Sorcerous Hat|41~195
Tailored Sorcerous Shoes|41~195
Tailored Sorcerous Gloves|41~195
Bloodstrike Breastplate|42
Bloodstrike Greaves|42
Bloodstrike Helm|42
Bloodstrike Boots|42
Bloodstrike Gauntlets|42
Greythorn Cuirass|42
Greythorn Greaves|42
Greythorn Helm|42
Greythorn Boots|42
Greythorn Gauntlets|42
Moonshadow Jerkin|42
Moonshadow Breeches|42
Moonshadow Helm|42
Moonshadow Boots|42
Moonshadow Gloves|42
Goldsong Robe|42
Goldsong Leggings|42
Goldsong Helm|42
Goldsong Sandals|42
Goldsong Gloves|42
Loremantle Gown|42
Loremantle Skirt|42
Loremantle Helm|42
Loremantle Shoes|42
Loremantle Gloves|42
Lesser Necklace of Health|14~15~16~17~39~44~193
Necklace of Health|8~9~10~11~14~16~17~39~40~41~42~193~194~195
Greater Necklace of Health|7~8~11~12~13~41~42~43~195
Lesser Energy Pendant|8~9~10~11~12~13~14~41~42~43~195
Energy Pendant|7~8~14~44
Greater Energy Pendant|15~16~17~39~40~41~42~44~193~194~195
Lesser Necklace of Cold Resistance|14~15~16~17~39~40~41~42~43~193~194~195
Necklace of Cold Resistance|7~8~9~10~11~12~13~14
Greater Necklace of Cold Resistance|44
Lesser Pendant of Heat Resistance|8~9~10~11~14~15~16~17~39~44~193
Pendant of Heat Resistance|7~8~41~42~43~195
Greater Pendant of Heat Resistance|11~12~13~14~16~17~39~40~41~42~44~193~194~195
Lesser Torc of Protection|14~15~16~17~39~44~193
Torc of Protection|16~17~39~40~41~42~43~193~194~195
Greater Torc of Protection|7~8~9~10~11~12~13~14
Lesser Twinsoul Necklace|14~15~16~17~39~193
Twinsoul Necklace|16~17~39~40~41~42~44~193~194~195
Greater Twinsoul Necklace|11~12~13~41~42~43~44~195
Lesser Icerock Talisman|14~16~17~39~40~41~42~44~193~194~195
Icerock Talisman|11~12~13~14~41~42~43~44~195
Greater Icerock Talisman|15~16~17~39~193
Lesser Charstone Ring|14~15~16~17~39~44~193
Charstone Ring|14~41~42~43~195
Greater Charstone Ring|11~12~13~16~17~39~40~41~42~44~193~194~195
Bronze Flanged Mace|45~94~193~196
Bronze Battle Axe|45~94~193~196
Bronze Falchion|45~94~193~196
Bronze Langsax|45~94~193~196
Bronze War Bow|45~94~193~196
Bronze Grand Staff|45~94~193~196
Bronze Sceptre|45~94~193~196
Bronze Great Maul|45~94~193~196
Bronze Great Axe|45~94~193~196
Bronze Greatsword|45~94~193~196
Robust Bronze Flanged Mace|45~95~194~197
Fierce Bronze Battle Axe|45~95~194~197
Steady Bronze Falchion|45~95~194~197
Sharp Bronze Langsax|45~95~194~197
Sturdy Bronze War Bow|45~95~194~197
Stout Bronze Grand Staff|45~95~194~197
Elegant Bronze Sceptre|45~95~194~197
Robust Bronze Great Maul|45~95~194~197
Fierce Bronze Great Axe|45~95~194~197
Steady Bronze Greatsword|45~95~194~197
Brutal Bronze Flanged Mace|45~96~195~198
Savage Bronze Battle Axe|45~96~195~198
Balanced Bronze Falchion|45~96~195~198
Cruel Bronze Langsax|45~96~195~198
Crafted Bronze War Bow|45~96~195~198
Solid Bronze Grand Staff|45~96~195~198
Splendid Bronze Sceptre|45~96~195~198
Brutal Bronze Great Maul|45~96~195~198
Savage Bronze Great Axe|45~96~195~198
Balanced Bronze Greatsword|45~96~195~198
Iron Flanged Mace|56~127
Iron Battle Axe|56~127
Iron Falchion|56~127
Iron Langsax|56~127
Iron War Bow|56~127
Iron Grand Staff|56~127
Iron Sceptre|56~127
Iron Great Maul|56~127
Iron Great Axe|56~127
Iron Greatsword|56~127
Robust Iron Flanged Mace|56~128
Fierce Iron Battle Axe|56~128
Steady Iron Falchion|56~128
Sharp Iron Langsax|56~128
Sturdy Iron War Bow|56~128
Stout Iron Grand Staff|56~128
Elegant Iron Sceptre|56~128
Robust Iron Great Maul|56~128
Fierce Iron Great Axe|56~128
Steady Iron Greatsword|56~128
Brutal Iron Flanged Mace|56~129
Savage Iron Battle Axe|56~129
Balanced Iron Falchion|56~129
Cruel Iron Langsax|56~129
Crafted Iron War Bow|56~129
Solid Iron Grand Staff|56~129
Splendid Iron Sceptre|56~129
Brutal Iron Great Maul|56~129
Savage Iron Great Axe|56~129
Balanced Iron Greatsword|56~129
Steel Flanged Mace|67~160
Steel Battle Axe|67~160
Steel Falchion|67~160
Steel Langsax|67~160
Steel War Bow|67~160
Steel Grand Staff|67~160
Steel Sceptre|67~160
Steel Great Maul|67~160
Steel Great Axe|67~160
Steel Greatsword|67~160
Robust Steel Flanged Mace|67~161
Fierce Steel Battle Axe|67~161
Steady Steel Falchion|67~161
Sharp Steel Langsax|67~161
Sturdy Steel War Bow|67~161
Stout Steel Grand Staff|67~161
Elegant Steel Sceptre|67~161
Robust Steel Great Maul|67~161
Fierce Steel Great Axe|67~161
Steady Steel Greatsword|67~161
Brutal Steel Flanged Mace|67~162
Savage Steel Battle Axe|67~162
Balanced Steel Falchion|67~162
Cruel Steel Langsax|67~162
Crafted Steel War Bow|67~162
Solid Steel Grand Staff|67~162
Splendid Steel Sceptre|67~162
Brutal Steel Great Maul|67~162
Savage Steel Great Axe|67~162
Balanced Steel Greatsword|67~162
Evasive Flanged Mace|46~97~193~196
Evasive Battle Axe|46~97~193~196
Evasive Falchion|46~97~193~196
Evasive Langsax|46~97~193~196
Evasive War Bow|46~97~193~196
Evasive Grand Staff|46~97~193~196
Evasive Sceptre|46~97~193~196
Evasive Great Maul|46~97~193~196
Evasive Great Axe|46~97~193~196
Evasive Greatsword|46~97~193~196
Evasive Robust Flanged Mace|46~98~194~197
Evasive Fierce Battle Axe|46~98~194~197
Evasive Steady Falchion|46~98~194~197
Evasive Sharp Langsax|46~98~194~197
Evasive Sturdy War Bow|46~98~194~197
Evasive Stout Grand Staff|46~98~194~197
Evasive Elegant Sceptre|46~98~194~197
Evasive Robust Great Maul|46~98~194~197
Evasive Fierce Great Axe|46~98~194~197
Evasive Steady Greatsword|46~98~194~197
Evasive Brutal Flanged Mace|46~99~195~198
Evasive Savage Battle Axe|46~99~195~198
Evasive Balanced Falchion|46~99~195~198
Evasive Cruel Langsax|46~99~195~198
Evasive Crafted War Bow|46~99~195~198
Evasive Solid Grand Staff|46~99~195~198
Evasive Splendid Sceptre|46~99~195~198
Evasive Brutal Great Maul|46~99~195~198
Evasive Savage Great Axe|46~99~195~198
Evasive Balanced Greatsword|46~99~195~198
Illusory Flanged Mace|57~130
Illusory Battle Axe|57~130
Illusory Falchion|57~130
Illusory Langsax|57~130
Illusory War Bow|57~130
Illusory Grand Staff|57~130
Illusory Sceptre|57~130
Illusory Great Maul|57~130
Illusory Great Axe|57~130
Illusory Greatsword|57~130
Illusory Robust Flanged Mace|57~131
Illusory Fierce Battle Axe|57~131
Illusory Steady Falchion|57~131
Illusory Sharp Langsax|57~131
Illusory Sturdy War Bow|57~131
Illusory Stout Grand Staff|57~131
Illusory Elegant Sceptre|57~131
Illusory Robust Great Maul|57~131
Illusory Fierce Great Axe|57~131
Illusory Steady Greatsword|57~131
Illusory Brutal Flanged Mace|57~132
Illusory Savage Battle Axe|57~132
Illusory Balanced Falchion|57~132
Illusory Cruel Langsax|57~132
Illusory Crafted War Bow|57~132
Illusory Solid Grand Staff|57~132
Illusory Splendid Sceptre|57~132
Illusory Brutal Great Maul|57~132
Illusory Savage Great Axe|57~132
Illusory Balanced Greatsword|57~132
Transient Flanged Mace|68~163
Transient Battle Axe|68~163
Transient Falchion|68~163
Transient Langsax|68~163
Transient War Bow|68~163
Transient Grand Staff|68~163
Transient Sceptre|68~163
Transient Great Maul|68~163
Transient Great Axe|68~163
Transient Greatsword|68~163
Transient Robust Flanged Mace|68~164
Transient Fierce Battle Axe|68~164
Transient Steady Falchion|68~164
Transient Sharp Langsax|68~164
Transient Sturdy War Bow|68~164
Transient Stout Grand Staff|68~164
Transient Elegant Sceptre|68~164
Transient Robust Great Maul|68~164
Transient Fierce Great Axe|68~164
Transient Steady Greatsword|68~164
Transient Brutal Flanged Mace|68~165
Transient Savage Battle Axe|68~165
Transient Balanced Falchion|68~165
Transient Cruel Langsax|68~165
Transient Crafted War Bow|68~165
Transient Solid Grand Staff|68~165
Transient Splendid Sceptre|68~165
Transient Brutal Great Maul|68~165
Transient Savage Great Axe|68~165
Transient Balanced Greatsword|68~165
Scarlet Flanged Mace|47~100~193~196
Scarlet Battle Axe|47~100~193~196
Scarlet Falchion|47~100~193~196
Scarlet Langsax|47~100~193~196
Scarlet War Bow|47~100~193~196
Scarlet Grand Staff|47~100~193~196
Scarlet Sceptre|47~100~193~196
Scarlet Great Maul|47~100~193~196
Scarlet Great Axe|47~100~193~196
Scarlet Greatsword|47~100~193~196
Scarlet Robust Flanged Mace|47~101~194~197
Scarlet Fierce Battle Axe|47~101~194~197
Scarlet Steady Falchion|47~101~194~197
Scarlet Sharp Langsax|47~101~194~197
Scarlet Sturdy War Bow|47~101~194~197
Scarlet Stout Grand Staff|47~101~194~197
Scarlet Elegant Sceptre|47~101~194~197
Scarlet Robust Great Maul|47~101~194~197
Scarlet Fierce Great Axe|47~101~194~197
Scarlet Steady Greatsword|47~101~194~197
Scarlet Brutal Flanged Mace|47~102~195~198
Scarlet Savage Battle Axe|47~102~195~198
Scarlet Balanced Falchion|47~102~195~198
Scarlet Cruel Langsax|47~102~195~198
Scarlet Crafted War Bow|47~102~195~198
Scarlet Solid Grand Staff|47~102~195~198
Scarlet Splendid Sceptre|47~102~195~198
Scarlet Brutal Great Maul|47~102~195~198
Scarlet Savage Great Axe|47~102~195~198
Scarlet Balanced Greatsword|47~102~195~198
Crimson Flanged Mace|58~133
Crimson Battle Axe|58~133
Crimson Falchion|58~133
Crimson Langsax|58~133
Crimson War Bow|58~133
Crimson Grand Staff|58~133
Crimson Sceptre|58~133
Crimson Great Maul|58~133
Crimson Great Axe|58~133
Crimson Greatsword|58~133
Crimson Robust Flanged Mace|58~134
Crimson Fierce Battle Axe|58~134
Crimson Steady Falchion|58~134
Crimson Sharp Langsax|58~134
Crimson Sturdy War Bow|58~134
Crimson Stout Grand Staff|58~134
Crimson Elegant Sceptre|58~134
Crimson Robust Great Maul|58~134
Crimson Fierce Great Axe|58~134
Crimson Steady Greatsword|58~134
Crimson Brutal Flanged Mace|58~135
Crimson Savage Battle Axe|58~135
Crimson Balanced Falchion|58~135
Crimson Cruel Langsax|58~135
Crimson Crafted War Bow|58~135
Crimson Solid Grand Staff|58~135
Crimson Splendid Sceptre|58~135
Crimson Brutal Great Maul|58~135
Crimson Savage Great Axe|58~135
Crimson Balanced Greatsword|58~135
Vermillion Flanged Mace|69~166
Vermillion Battle Axe|69~166
Vermillion Falchion|69~166
Vermillion Langsax|69~166
Vermillion War Bow|69~166
Vermillion Grand Staff|69~166
Vermillion Sceptre|69~166
Vermillion Great Maul|69~166
Vermillion Great Axe|69~166
Vermillion Greatsword|69~166
Vermillion Robust Flanged Mace|69~167
Vermillion Fierce Battle Axe|69~167
Vermillion Steady Falchion|69~167
Vermillion Sharp Langsax|69~167
Vermillion Sturdy War Bow|69~167
Vermillion Stout Grand Staff|69~167
Vermillion Elegant Sceptre|69~167
Vermillion Robust Great Maul|69~167
Vermillion Fierce Great Axe|69~167
Vermillion Steady Greatsword|69~167
Vermillion Brutal Flanged Mace|69~168
