1~Alwyn the Druid~0~0~Friendly~0~200~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5~0~1~0~0~0~~0
59~Rafferty the Romantic~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
60~Murray the Miner~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
61~Una the Furrier~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
62~Declan the Druid~0~0~Friendly~0~200~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
63~Hogan the Barkeep~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
64~Cayden the Ranger~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
65~Severina the Alchemist~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
66~Torbin the Sailor~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
67~Grania the Rogue~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
68~Blind Old Erskine~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
69~[Item Trader] Brodie the Opportunist~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
70~[Luxury Item Trader] Quigley the Merchant~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
71~Knox the Mage~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
72~Guthrie the Herbalist~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
73~Rowena the Druid~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
74~Caryn the Cook~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
75~Blair the Archer~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
76~Abernethy the Archer~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
77~[Item Trader] Angus MacLir~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
78~Dervla Mathanach OLD~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
79~High Druid Canonach~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
80~MacCroin Swordmaster~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
81~Sergeant Angus~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
82~Corporal Catriona~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
83~Brogan the Quartermaster~0~30~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
84~Doctor Cormac~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
85~Loman the Woodcutter~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
86~Earlene the Herbalist~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
87~Sergeant Kerr~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
88~Gregory the Scout~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
89~Private Bruce~0~30~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
90~MacLir Guard~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
91~Bowen the Horsemaster~0~0~Friendly~0~5~100~1~1~1~1000~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
92~Chase MacLir~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
93~Isla MacCroin~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
94~Commander Cullen~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
95~Ranger Camryn~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
96~Mage Fallon~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
97~Captain Teague~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
98~Captain Garret~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
99~Finn the Scout~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
100~Rory the Scout~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
101~Myrna the Scout~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
102~Alan the Scout~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
103~Keita the Scout~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
104~Dreylaw the Arms Dealer~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
105~MacCroin Soldier~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
106~MacCroin Spearman~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
107~[Trader] Aislin the Merchant~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
108~[Spear Trainer] Skena~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
109~Taliesin the Bard~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
110~Kail the Defector~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
111~Rhona the Druid~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
112~Farmer Forbes~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
113~Janet Kelso~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
114~Tam Lin~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
115~Brothag the Druid~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
116~Brith the Shepherd~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
117~Alena the Villager~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
118~Timan the Crofter~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
119~[Totem Trainer] Cantorix the Druid~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
120~[Trader] Ashlen MacCroin~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
121~[Trader] Bericus MacCroin~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
122~Prisoner Carbry~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
123~Prisoner Moya~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
125~Oisin the Warden~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
127~Sweyn the Messenger~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
128~Brixos the Warden~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
129~Rhallai the Warden~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
130~Vinda the Warden~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
131~Eanan the Warden~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
132~Griga the Warden~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
133~[Undead Charm Trader]Igor the Crafty~0~0~Friendly~0~100~0~1~0~2800~1~0~~0,1;1,1;2,1;3,0;4,0;5,0;7,Immune~0~1~0~0~0~~0
134~Morvern Pumpkinhead~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
135~[Broom Trader] Velkira the Witch~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
136~Hatti Wartfingers~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
137~Agatha Carbuncle~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
138~Festus the Mad OLD~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
139~[Novelty Trainer] Fuggles the Jester~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
140~Festus the Mad~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
141~The Yulefather~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
142~Snowdrop the Faerie~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
143~Albin Fireheart~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
144~OVERWRITE~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
145~[Sled Trader] Bob Slayer~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
146~[Hand to Hand Trainer] Stony Morgan~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
147~[Banker] Baldwin the Banker~0~0~Friendly~0~100~0~0~0~0~0~3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
148~Segorax the Gladiator~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
149~Brennan the Mighty OLD~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
150~Eryn the Lighthouse Keeper OLD~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
151~Gate Captain Grun~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
152~Segna the Scholar~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
153~Blaze the Duellist~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
154~Nairn the Guard~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
155~Broc Steelblade~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
156~Eavan Wildgale~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
157~Griss Eaglesight~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
158~Adyna Firestorm~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
159~Frang Duskstrike~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
160~Lilas the Healer OLD~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
161~Niblet the Guard~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
162~Bobbins the Guard~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
163~Wotsit the Guard~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
164~Crotchet the Guard~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
165~Morden~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
166~Sergeant Arnhuin OLD~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
167~Mirain the Seer~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
168~Tyric~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
169~Statue of the Daghda~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~5~0~~0
170~Statue of Cerridwen~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~5~0~~0
171~Statue of Epona~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~5~0~~0
172~Statue of Gofannon~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~5~0~~0
173~Statue of Lir~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~5~0~~0
174~[Skill Merchant] Cathal the Ranger~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
176~[Critical Skill Trainer] Vika the Skilled~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
177~The Scavenger~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
178~Wayland the Smith~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
179~Culann the Smith~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
180~Jean the Jeweller~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
181~Muriel the Tailor~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
182~Sandy the Tailor~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
183~Bogan the Ragged~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
184~Deira the Cobbler~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
190~Gideon the Book Binder~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
191~Regulus the Spellweaver~0~30~Friendly~0~67~0 - 3~85~13~2800~0~0.3~~0,18;1,18;2,18;7,Immune~0~1~0~0~260~~0
192~Starflower the Faerie~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
193~Niamh~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
194~Elidyr~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
195~Carraden~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
196~Rhyanne~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
197~Davin~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
198~Kyna~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
199~Hamish the Hatter OLD~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
200~[Town Crier] Finna the Loud~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
